Country,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,Climate Watch,Transportation,All GHG,0.973872,0.926026,0.741007,0.744429,0.733597,0.727909,0.696988,0.671705,0.665256,0.49054,0.510747,0.507349,0.50896,0.71863,0.602824,1.132,1.42878,1.59999,2.67831,4.37296,5.53756,6.70777,5.84527,4.32731,3.52552,4.29432,3.31331,3.94289,4.41581,4.52163,5.04945,4.67308,4.51515,4.54639
AFG,Climate Watch,Transportation,CH4,3.9e-05,3.7e-05,3e-05,3e-05,2.9e-05,2.9e-05,2.8e-05,2.7e-05,2.6e-05,1.9e-05,2e-05,2e-05,2e-05,2.8e-05,2.4e-05,4.5e-05,5.7e-05,6.3e-05,0.000107,0.000174,0.000221,0.000266,0.000231,0.000168,0.000135,0.000163,0.000125,0.00015,0.000169,0.000173,0.000193,0.00018,0.000174,0.000175
AFG,Climate Watch,Transportation,CO2,0.973825,0.925982,0.740971,0.744393,0.733562,0.727874,0.696954,0.671673,0.665225,0.490517,0.510723,0.507325,0.508936,0.718596,0.602795,1.13194,1.42871,1.59992,2.67819,4.37275,5.5373,6.70745,5.84499,4.32711,3.52535,4.29413,3.31316,3.94271,4.41561,4.52143,5.04922,4.67286,4.51495,4.54618
AFG,Climate Watch,Transportation,N2O,8e-06,7e-06,6e-06,6e-06,6e-06,6e-06,6e-06,5e-06,5e-06,4e-06,4e-06,4e-06,4e-06,6e-06,5e-06,9e-06,1.1e-05,1.3e-05,2.1e-05,3.5e-05,4.4e-05,5.3e-05,4.6e-05,3.3e-05,2.7e-05,3.2e-05,2.4e-05,2.9e-05,3.3e-05,3.4e-05,3.8e-05,3.5e-05,3.4e-05,3.4e-05
AFG,Climate Watch,Waste,All GHG,1.02136,1.02631,1.15182,1.33794,1.47686,1.56913,1.63515,1.70066,1.76831,1.84224,1.86937,1.88561,2.01808,2.17661,2.26327,2.52085,2.6216,2.66846,2.7298,2.82978,2.91273,3.00956,3.12849,3.23275,3.21183,3.31439,3.40025,3.49313,3.59274,3.69728,3.81661,3.9292,4.03231,4.14355
AFG,Climate Watch,Waste,CH4,0.931927,0.936463,1.05099,1.22084,1.34762,1.43184,1.4921,1.55191,1.61367,1.68117,1.70595,1.71907,1.83402,1.97814,2.05797,2.30729,2.39409,2.43099,2.47348,2.55401,2.62115,2.71079,2.81434,2.90548,2.86973,2.96199,3.04087,3.13076,3.22391,3.3206,3.42794,3.52928,3.62213,3.72229
AFG,Climate Watch,Waste,N2O,0.0894292,0.0898504,0.100823,0.117098,0.129238,0.137294,0.143044,0.148749,0.154638,0.161075,0.163417,0.166538,0.184061,0.198478,0.205302,0.213564,0.22751,0.237469,0.256323,0.275764,0.291584,0.298773,0.314153,0.327268,0.342095,0.352398,0.359381,0.362366,0.368836,0.376679,0.388674,0.399916,0.410181,0.421262
AGO,Climate Watch,Agriculture,All GHG,30.1807,30.2685,30.3724,30.2404,30.2235,30.1053,27.3114,26.9565,29.8101,27.6502,28.5052,29.7142,31.891,36.2569,35.9917,35.7545,32.9399,35.2259,33.2317,33.0836,34.6492,35.7888,33.9072,35.0989,33.8445,35.1896,35.5234,35.6668,31.8616,35.3488,33.967,34.1841,33.9405,35.6026
AGO,Climate Watch,Agriculture,CH4,16.8073,16.8644,16.931,16.8487,16.8787,16.7727,15.3222,15.1819,16.7816,15.6263,16.1206,16.7604,17.8936,20.2349,20.0594,20.0206,18.5022,19.7374,18.6927,18.6167,19.4424,20.0536,19.0551,19.6746,18.9722,19.7,19.8791,19.8983,17.8441,19.7262,18.991,19.1039,18.9037,19.9038
AGO,Climate Watch,Agriculture,N2O,13.3734,13.4041,13.4415,13.3917,13.3448,13.3326,11.9891,11.7746,13.0285,12.0239,12.3846,12.9538,13.9974,16.022,15.9324,15.7339,14.4377,15.4885,14.5389,14.4669,15.2068,15.7352,14.8521,15.4243,14.8723,15.4896,15.6442,15.7685,14.0175,15.6225,14.9759,15.0801,15.0368,15.6988
AGO,Climate Watch,Building,All GHG,3.64924,3.75716,3.76199,3.73467,3.91889,4.00067,4.291,4.3386,4.46983,4.76134,4.59263,4.75533,4.81213,4.90408,4.98065,4.69572,5.7232,6.16251,6.86322,7.47489,7.75239,8.2052,9.78125,11.033,10.7657,10.3423,10.0915,10.3728,10.3421,11.0872,10.1658,11.3394,11.6289,12.7507
AGO,Climate Watch,Building,CH4,2.89139,2.95884,3.02757,3.09769,3.16184,3.20366,3.24796,3.28984,3.32937,3.36631,3.40061,3.43623,3.4716,3.50564,3.54134,3.57629,3.64939,3.72314,3.79956,3.87738,3.95644,4.03821,4.12276,4.20724,4.28232,4.35194,4.42195,4.49161,4.55915,4.6275,4.68476,4.7471,4.80596,4.86446
AGO,Climate Watch,Building,CO2,0.634588,0.67215,0.605459,0.505143,0.622439,0.660542,0.904198,0.908134,0.997973,1.25044,1.04637,1.17176,1.19168,1.24808,1.28736,0.966522,1.91614,2.27793,2.89785,3.42747,3.62209,3.98898,5.47607,6.63765,6.29222,5.79751,5.47468,5.68509,5.58461,6.2576,5.27944,6.38645,6.61398,7.67417
AGO,Climate Watch,Building,N2O,0.123264,0.12617,0.128963,0.13184,0.134606,0.136464,0.138843,0.140629,0.142492,0.144585,0.14565,0.147338,0.148846,0.150362,0.151948,0.152909,0.157674,0.161441,0.165804,0.170033,0.173859,0.178014,0.182426,0.188087,0.191114,0.192838,0.194877,0.196074,0.198322,0.202123,0.201627,0.205871,0.208947,0.212026
AGO,Climate Watch,Bunker Fuels,All GHG,1.06319,0.91795,0.841269,0.944089,1.34917,1.21714,1.06305,1.06984,0.684404,1.20172,1.44271,1.5616,1.3431,0.805464,1.3093,0.914275,0.819014,1.22663,1.3193,1.20117,1.56147,1.39241,2.18332,1.92678,2.51479,2.58572,2.03998,2.03757,2.02555,2.0215,1.54016,1.57955,1.58104,1.76361
AGO,Climate Watch,Bunker Fuels,CH4,0.000243,0.00028,0.000222,0.000242,0.000298,0.000302,0.000257,0.000223,0.000133,0.000234,0.00028,0.000303,0.000261,0.000906,0.001388,0.00097,0.001482,0.002252,0.002321,0.001579,0.001604,0.001448,0.003164,0.002097,0.003178,0.00349,0.002932,0.002879,0.002862,0.002857,0.002664,0.002721,0.002823,0.002884
AGO,Climate Watch,Bunker Fuels,CO2,1.05514,0.910942,0.834873,0.936917,1.33895,1.2079,1.05498,1.06175,0.679236,1.19265,1.43182,1.54981,1.33296,0.798817,1.29856,0.906775,0.811834,1.21585,1.30778,1.19108,1.5487,1.38101,2.16478,1.91094,2.49378,2.56394,2.02267,2.02031,2.0084,2.00438,1.52675,1.5658,1.56721,1.74838
AGO,Climate Watch,Bunker Fuels,N2O,0.007813,0.006728,0.006174,0.00693,0.009917,0.008938,0.007808,0.007867,0.005035,0.008841,0.010613,0.011488,0.009881,0.005741,0.009352,0.00653,0.005698,0.008526,0.009195,0.008504,0.011165,0.009952,0.015383,0.013749,0.017835,0.018283,0.01438,0.014375,0.01429,0.014262,0.010746,0.011022,0.011009,0.012345
AGO,Climate Watch,Electricity/Heat,All GHG,0.478329,0.437057,0.372805,0.308662,0.380787,0.38044,0.408477,0.634288,0.588817,0.847737,0.938884,1.03958,1.0479,1.22497,0.870075,0.807108,0.843658,1.21942,1.46266,2.47498,2.61461,2.44968,2.71193,4.21146,5.85885,5.74011,5.94733,4.75932,4.48251,5.0949,4.42017,4.06476,4.20568,4.16672
