year,annex2_co2_excLUC,annex1_co2_excLUC,world_co2_excLUC,annex2_co2_incLUC,annex1_co2_incLUC,world_co2_incLUC,annex2_ghg_excLUC,annex1_ghg_excLUC,world_ghg_excLUC,annex2_ghg_incLUC,annex1_ghg_incLUC,world_ghg_incLUC
1939,0.069282,0.074908,0.077172,0.160170,0.202814,0.239531,0.093936,0.105517,0.115279,0.214131,0.271524,0.328009
1940,0.071013,0.076991,0.079355,0.163118,0.206608,0.244282,0.095956,0.108209,0.118372,0.217982,0.276709,0.334715
1941,0.072820,0.079122,0.081606,0.166181,0.210438,0.249181,0.098222,0.111094,0.121703,0.222143,0.282095,0.341785
1942,0.074686,0.081236,0.083850,0.169321,0.214217,0.254079,0.100542,0.113904,0.124982,0.226405,0.287402,0.348848
1943,0.076584,0.083397,0.086136,0.172501,0.218016,0.259012,0.102823,0.116715,0.128256,0.230673,0.292714,0.355948
1944,0.078473,0.085588,0.088460,0.175680,0.221806,0.263954,0.105087,0.119545,0.131586,0.234972,0.298044,0.363123
1945,0.080047,0.087396,0.090392,0.178555,0.225211,0.268520,0.106946,0.121834,0.134379,0.238915,0.302868,0.369832
1946,0.081710,0.089339,0.092467,0.181500,0.228700,0.273267,0.108944,0.124323,0.137601,0.242989,0.307851,0.377103
1947,0.083544,0.091492,0.094793,0.184468,0.232216,0.278187,0.111128,0.127054,0.140999,0.246926,0.312717,0.384486
1948,0.085490,0.093777,0.097247,0.187542,0.235829,0.283211,0.113516,0.130017,0.144569,0.251080,0.317799,0.392066
1949,0.087282,0.095953,0.099590,0.190320,0.239156,0.288107,0.115655,0.132798,0.147975,0.254835,0.322509,0.399509
1950,0.089285,0.098373,0.102202,0.193364,0.242893,0.293708,0.118226,0.136034,0.151793,0.259096,0.327857,0.407837
1951,0.091420,0.100961,0.105006,0.196537,0.246864,0.299746,0.121113,0.139626,0.156012,0.263672,0.333630,0.416873
1952,0.093535,0.103563,0.107847,0.199702,0.250893,0.305846,0.124068,0.143342,0.160376,0.268339,0.339587,0.426144
1953,0.095693,0.106240,0.110769,0.202886,0.255009,0.312152,0.127104,0.147185,0.164878,0.273072,0.345697,0.435773
1954,0.097843,0.108953,0.113752,0.206059,0.259198,0.318754,0.130135,0.151074,0.169453,0.277798,0.351891,0.445779
1955,0.100168,0.111905,0.117020,0.209435,0.263688,0.325614,0.133454,0.155343,0.174530,0.282858,0.358554,0.456301
1956,0.102617,0.115036,0.120498,0.212924,0.268369,0.332783,0.136902,0.159815,0.179928,0.288048,0.365449,0.467471
1957,0.105070,0.118232,0.124084,0.216410,0.273132,0.340091,0.140363,0.164401,0.185469,0.293255,0.372488,0.478711
1958,0.107457,0.121407,0.127780,0.219808,0.277870,0.347479,0.143863,0.169084,0.191233,0.298489,0.379641,0.490212
1959,0.109892,0.124670,0.131672,0.223244,0.282833,0.355278,0.147432,0.173899,0.197431,0.303803,0.387083,0.502435
1960,0.112456,0.128102,0.135792,0.226389,0.287412,0.364877,0.151115,0.178834,0.204007,0.308737,0.394028,0.516888
1961,0.115071,0.131617,0.139914,0.229459,0.291945,0.372460,0.154835,0.183880,0.210537,0.313590,0.400953,0.529115
1962,0.117803,0.135301,0.144182,0.232619,0.296473,0.380098,0.158672,0.189160,0.217266,0.318533,0.407974,0.541497
1963,0.120675,0.139193,0.148677,0.235855,0.301124,0.387790,0.162703,0.194709,0.224364,0.323589,0.415185,0.554090
1964,0.123683,0.143287,0.153412,0.239190,0.305900,0.395684,0.166954,0.200559,0.231783,0.328808,0.422586,0.567011
1965,0.126794,0.147538,0.158360,0.242616,0.310795,0.403513,0.171459,0.206785,0.239754,0.334263,0.430329,0.580250
1966,0.130023,0.151963,0.163545,0.246124,0.315791,0.411368,0.176090,0.213166,0.248151,0.339781,0.438167,0.593764
1967,0.133364,0.156550,0.168888,0.249961,0.321171,0.419518,0.180746,0.219586,0.256583,0.345549,0.446300,0.607504
1968,0.136879,0.161357,0.174522,0.254017,0.326847,0.427993,0.185627,0.226253,0.265385,0.351587,0.454763,0.621693
1969,0.140618,0.166451,0.180533,0.258152,0.332638,0.437122,0.190888,0.233323,0.274889,0.357857,0.463449,0.636847
1970,0.144617,0.171882,0.187047,0.262458,0.338725,0.446640,0.196298,0.240634,0.284966,0.364202,0.472340,0.652549
1971,0.148669,0.177447,0.193822,0.266813,0.344864,0.456172,0.201637,0.247944,0.295226,0.370416,0.481118,0.668079
1972,0.152897,0.183262,0.200907,0.271284,0.351175,0.466148,0.207150,0.255504,0.305900,0.376781,0.490116,0.684193
1973,0.157323,0.189339,0.208361,0.275940,0.357750,0.476415,0.212847,0.263328,0.317134,0.383293,0.499362,0.700783
1974,0.161632,0.195358,0.215797,0.280488,0.364269,0.486685,0.218349,0.271013,0.328210,0.389638,0.508502,0.717228
1975,0.165768,0.201296,0.223247,0.284846,0.370671,0.496879,0.223537,0.278468,0.339071,0.395662,0.517395,0.733464
1976,0.170119,0.207527,0.231094,0.289420,0.377379,0.507447,0.228869,0.286145,0.350311,0.401823,0.526509,0.750011
1977,0.174514,0.213869,0.239160,0.294108,0.384259,0.518485,0.234210,0.293883,0.361745,0.408015,0.535691,0.766977
1978,0.179007,0.220376,0.247523,0.298843,0.391257,0.529796,0.239645,0.301795,0.373497,0.414164,0.544918,0.784121
1979,0.183604,0.227001,0.256103,0.303680,0.398346,0.541004,0.245232,0.309874,0.385436,0.420463,0.554287,0.801150
1980,0.188065,0.233561,0.264643,0.308399,0.405444,0.552238,0.250610,0.317791,0.396999,0.426591,0.563587,0.817872
1981,0.192350,0.239893,0.272961,0.312938,0.412249,0.563175,0.255752,0.325378,0.407984,0.432377,0.572401,0.833838
1982,0.196458,0.246088,0.281228,0.317265,0.418886,0.573925,0.260624,0.332759,0.418919,0.437889,0.580987,0.849644
1983,0.200542,0.252286,0.289579,0.321600,0.425558,0.584898,0.265342,0.340000,0.429766,0.443206,0.589374,0.865456
1984,0.204731,0.258611,0.298179,0.326030,0.432353,0.596385,0.270076,0.347283,0.440922,0.448541,0.597838,0.881765
1985,0.208951,0.265101,0.307086,0.330469,0.439307,0.608341,0.274801,0.354681,0.452307,0.453874,0.606429,0.898463
1986,0.213154,0.271592,0.316113,0.334866,0.446230,0.620487,0.279453,0.362048,0.463676,0.459065,0.614879,0.915140
1987,0.217465,0.278199,0.325381,0.339370,0.453250,0.632672,0.284154,0.369498,0.475387,0.464217,0.623286,0.931885
1988,0.221917,0.284976,0.335006,0.344019,0.460438,0.645061,0.288906,0.377054,0.487575,0.469403,0.631752,0.948880
1989,0.226461,0.291797,0.344749,0.348762,0.467651,0.657487,0.293661,0.384549,0.499762,0.474586,0.640139,0.965897
1990,0.231220,0.298861,0.354738,0.353735,0.475119,0.670091,0.298616,0.392247,0.511972,0.480013,0.648764,0.982903
1991,0.235971,0.305658,0.364745,0.358681,0.482287,0.682792,0.303563,0.399562,0.524052,0.485394,0.656876,0.999906
1992,0.240750,0.312113,0.374637,0.363650,0.489055,0.695363,0.308531,0.406428,0.535903,0.490737,0.664328,1.016495
1993,0.245548,0.318495,0.384630,0.368627,0.495717,0.707931,0.313492,0.413118,0.547639,0.496053,0.671512,1.032751
1994,0.250415,0.324787,0.394712,0.373661,0.502258,0.721010,0.318567,0.419684,0.559610,0.501455,0.678461,1.049650
1995,0.255342,0.331120,0.405023,0.378776,0.508824,0.734144,0.323705,0.426259,0.571943,0.506901,0.685302,1.066650
1996,0.260402,0.337574,0.415634,0.384025,0.515682,0.747695,0.328952,0.432881,0.584635,0.512445,0.692311,1.084082
1997,0.265474,0.343981,0.426296,0.389251,0.522284,0.761963,0.334198,0.439418,0.597308,0.517973,0.699000,1.101998
1998,0.270572,0.350378,0.436899,0.394523,0.528912,0.775622,0.339404,0.445821,0.609663,0.523539,0.705605,1.119125
1999,0.275721,0.356801,0.447735,0.399841,0.535573,0.789409,0.344533,0.452123,0.621983,0.529046,0.712098,1.136103
2000,0.281005,0.363353,0.458867,0.405323,0.542340,0.803304,0.349762,0.458534,0.634980,0.534662,0.718642,1.153483
2001,0.286255,0.369895,0.470084,0.410701,0.549017,0.816970,0.354912,0.464936,0.648310,0.540176,0.725132,1.170922
2002,0.291540,0.376460,0.481549,0.416117,0.555700,0.831170,0.360065,0.471293,0.661697,0.545641,0.731494,1.188678
2003,0.296895,0.383136,0.493624,0.421705,0.562626,0.846532,0.365338,0.477820,0.676080,0.551275,0.738110,1.207983
2004,0.302301,0.389875,0.506097,0.427313,0.569571,0.861896,0.370660,0.484411,0.690883,0.556973,0.744754,1.227448
2005,0.307713,0.396636,0.518999,0.432936,0.576560,0.877460,0.375939,0.491004,0.706184,0.562558,0.751335,1.247198
2006,0.313076,0.403403,0.532326,0.438352,0.583392,0.893494,0.381181,0.497619,0.721967,0.568022,0.757852,1.267533
2007,0.318472,0.410223,0.546034,0.443832,0.590347,0.909709,0.386463,0.504305,0.738065,0.573614,0.764563,1.288064
2008,0.323709,0.416883,0.559986,0.449240,0.597200,0.926326,0.391584,0.510819,0.754295,0.579082,0.771128,1.308909
2009,0.328578,0.423076,0.573715,0.454208,0.603611,0.942986,0.396224,0.516759,0.770006,0.584000,0.777131,1.329375
2010,0.333598,0.429480,0.588231,0.459451,0.610409,0.960423,0.401006,0.522945,0.786766,0.589119,0.783498,1.350827
